pk,desa,direccion,ubicacion,localidad,cod_postal,isla,x,y,vigencia_inicio,vigencia_fin
1,DESA00004,LUGAR PIEDRA SANTA S/N,CENTRAL TÉRMICA JINÁMAR: Sala de control,Palmas de Gran Canaria (Las),35016,GRAN CANARIA,459853,3.10171e+006,20170908000000,
2,DESA00005,LUGAR SALINAS DEL MATORRAL S/N  - JUAN GRANDE,CENTRAL TÉRMICA EL MATORRAL: Sala de control de la central,San Bartolome de Tirajana,35107,GRAN CANARIA,456900,3.07538e+006,20170908000000,
3,DESA00009,AVDA FRANCISCO LA ROCHE S/N,REAL CLUB NAUTICO DE TENERIFE: Botiquín del Club,Santa Cruz de Tenerife,38001,TENERIFE,378400,3.15086e+006,20170908000000,
4,DESA00010,PUERTO DE FUERTEVENTURA,PUERTO DE FUERTEVENTURA: Vehículo Jefe Servicio Policía Portuaria en el Muelle de Puerto del Rosario  Recinto Portuario,Puerto del Rosario,35310,FUERTEVENTURA,612007,3.15301e+006,20170908000000,
5,DESA00022,PUERTO DE LANZAROTE,PUERTO DE LANZAROTE: Vehículo Jefe Servicio Policía Portuaria en el Muelle de los Mármoles  Recinto Portuario,Arrecife,35310,LANZAROTE,643619,3.20592e+006,20170908000000,
6,DESA00023,PUERTO DE LANZAROTE,PUERTO DE LANZAROTE: Vehículo Policía Portuaria en el Muelle de Cruceros  Recinto Portuario,Arrecife,35310,LANZAROTE,643619,3.20592e+006,20170908000000,
7,DESA00025,PUERTO DE FUERTEVENTURA,PUERTO DE FUERTEVENTURA: Vehículo Policía Portuaria en el Muelle de Cruceros  Recinto Portuario,Puerto del Rosario,35310,FUERTEVENTURA,612007,3.15301e+006,20170908000000,
8,DESA00038,AEROPUERTO DEL HIERRO 1,AEROPUERTO DEL HIERRO: Entrada principal acceso a la terminal,Valverde del Hierro,38910,EL HIERRO,215483,3.07904e+006,20170908000000,
9,DESA00039,AEROPUERTO REINA SOFIA S/N,AEROPUERTO DE TENERIFE SUR: Facturación. Pilar frente mostrador 23 Columna D11,Granadilla de Abona,38610,TENERIFE,344918,3.10353e+006,20170908000000,
10,DESA00040,AEROPUERTO REINA SOFIA S/N,AEROPUERTO DE TENERIFE SUR: Facturación B. Columna frente a mostrador 23 Columna D04,Granadilla de Abona,38610,TENERIFE,344918,3.10353e+006,20170908000000,
11,DESA00041,AEROPUERTO REINA SOFIA S/N,AEROPUERTO DE TENERIFE SUR: Llegadas A. Pilar frente cintas A4 y A6 Columna G19,Granadilla de Abona,38610,TENERIFE,344918,3.10353e+006,20170908000000,
12,DESA00042,AEROPUERTO REINA SOFIA S/N,AEROPUERTO DE TENERIFE SUR: Llegadas B. Pilar frente cinta B34 Columna C19,Granadilla de Abona,38610,TENERIFE,344918,3.10353e+006,20170908000000,
13,DESA00043,AEROPUERTO REINA SOFIA S/N,AEROPUERTO DE TENERIFE SUR: Control A Zona pública antes filtro Columna F04,Granadilla de Abona,38610,TENERIFE,344918,3.10353e+006,20170908000000,
14,DESA00044,AEROPUERTO REINA SOFIA S/N,AEROPUERTO DE TENERIFE SUR: Embarque Este  junto puertas 12 13 Columna K11,Granadilla de Abona,38610,TENERIFE,344918,3.10353e+006,20170908000000,
