CodigoZonaInspeccion,DenominacionZonaInspeccion,Territorio
101,"101-GONZÁLEZ RAMOS, ANDRÉS",LP0 - Provincia Las Palmas
102,"102-CARBALLO MORERA, MARÍA SOCORRO",LP0 - Provincia Las Palmas
103,"103-ALONSO RODRÍGUEZ, JESÚS MIGUEL",LP0 - Provincia Las Palmas
104,"104-FIGUERAS MARTÍN, HUMBERTO",LP0 - Provincia Las Palmas
201,"201-PÉREZ BORGES, JUAN RAMÓN",LP0 - Provincia Las Palmas
202,"202-PERDOMO DELGADO, FRANCISCO",LP0 - Provincia Las Palmas
203,"203-BAILÓN CASANOVA, JUAN RAFAEL",LP0 - Provincia Las Palmas
204,"204-HERNÁNDEZ GARCÍA, JORGE",LP0 - Provincia Las Palmas
300,"300-FLEITAS MONZÓN, MARÍA MILAGROS",LP0 - Provincia Las Palmas
301,"301-DÉNIZ RUIZ, BENJAMÍN",LP0 - Provincia Las Palmas
302,"302-MARRERO NAVARRO, GILBERTO",LP0 - Provincia Las Palmas
303,"303-RIVERO SÁNCHEZ, DOMINGO",LP0 - Provincia Las Palmas
304,"304-DÍAZ CASTELLANO, MARÍA DEL CARMEN",LP0 - Provincia Las Palmas
305,"305-RODRÍGUEZ MACHADO, FRANCISCO",LP0 - Provincia Las Palmas
306,"306-ALDUNATE RUANO, AINHOA",LP0 - Provincia Las Palmas
307,"307-LÓPEZ CAÑETE, MARÍA DOLORES",LP0 - Provincia Las Palmas
308,"308-QUEVEDO SARMIENTO, JACINTO",LP0 - Provincia Las Palmas
309,"309-PÉREZ BEJARANO, MARÍA ANTONIA",LP0 - Provincia Las Palmas
310,"310-ROYO SIMÓN, CRISTINA",LP0 - Provincia Las Palmas
311,"311-BAEZ CABRERA, JUAN JOSÉ",LP0 - Provincia Las Palmas
312,"312-ACEVEDO HERNÁNDEZ, PEDRO MANUEL",LP0 - Provincia Las Palmas
313,"313-SUÁREZ JURADO, ROBERTO",LP0 - Provincia Las Palmas
314,"314-GARCÍA LOZANO, MONTSERRAT",LP0 - Provincia Las Palmas
315,"315-SÁNCHEZ DE LA CRUZ, JORGE",LP0 - Provincia Las Palmas
316,"316-GUTIÉRREZ GONZÁLEZ, JULIO VALENTÍN",LP0 - Provincia Las Palmas
317,"317-SANTIAGO MARTÍN, ALFREDO",LP0 - Provincia Las Palmas
318,"318-FARÍAS OROPESA, MARÍA AUXILIADORA",LP0 - Provincia Las Palmas
319,"319-OJEDA ZAMORA, GUSTAVO",LP0 - Provincia Las Palmas
320,"320-CASTELLANO GONZÁLEZ, FRANCISCO",LP0 - Provincia Las Palmas
321,"321-GARCÍA CUBAS, ELÍAS MANUEL",LP0 - Provincia Las Palmas
322,"322-SÁNCHEZ SÁNCHEZ, RAFAEL",LP0 - Provincia Las Palmas
323,"323-VIERA RODRÍGUEZ, FRANCISCO JAVIER",LP0 - Provincia Las Palmas
324,"324-HERNÁNDEZ BAUTISTA, FANEQUE JAVIER",LP0 - Provincia Las Palmas
325,"325-FERNÁNDEZ MAYO, RAMIRO",LP0 - Provincia Las Palmas
326,"326-SUÁREZ PÉREZ, MIGUEL ÁNGEL",LP0 - Provincia Las Palmas
327,"327-GALVÁN RUÍZ, EUGENIO FRANCISCO",LP0 - Provincia Las Palmas
401,"401-CASANOVA DE AYALA, CARLOS",TF0 - Provincia Santa Cruz de Tenerife
501,"501-RUIZ RODRÍGUEZ, NINFA MARINA",TF0 - Provincia Santa Cruz de Tenerife
601,"601-LEAL SIMÓN, JOSE FRANCISCO",TF0 - Provincia Santa Cruz de Tenerife
602,"602-BALLESTEROS BALLESTER, ALFONSO",TF0 - Provincia Santa Cruz de Tenerife
603,"603-BRITO DÍAZ, MARÍA TERESA",TF0 - Provincia Santa Cruz de Tenerife
700,"700-CABRERA DELGADO, JOSÉ MANUEL",TF0 - Provincia Santa Cruz de Tenerife
701,"701-RUÍZ ALZOLA, ENRIQUE JACINTO",TF0 - Provincia Santa Cruz de Tenerife
702,"702-GONZÁLEZ GONZÁLEZ, JUAN FABIÁN",TF0 - Provincia Santa Cruz de Tenerife
703,"703-CARBALLO HERRERA, MARÍA ELENA",TF0 - Provincia Santa Cruz de Tenerife
704,"704-GARCÍA QUINTERO, DOMINGO",TF0 - Provincia Santa Cruz de Tenerife
705,"705-NEGRIN MEDINA, MIGUEL ANGEL",TF0 - Provincia Santa Cruz de Tenerife
706,"706-PÉREZ DIONIS CHINEA, DAVID",TF0 - Provincia Santa Cruz de Tenerife
707,"707-BELLO GONZÁLEZ, MARÍA CONCEPCIÓN",TF0 - Provincia Santa Cruz de Tenerife
708,"708-JEREZ HERNÁNDEZ, MARÍA DOLORES",TF0 - Provincia Santa Cruz de Tenerife
709,"709-LEAL CRUZ, NIEVES LAURA",TF0 - Provincia Santa Cruz de Tenerife
710,"710-MARTÍN OJEDA, SAUL",TF0 - Provincia Santa Cruz de Tenerife
711,"711-VELASCO PÉREZ, MARÍA SOL IRMA",TF0 - Provincia Santa Cruz de Tenerife
712,"712-ARTEAGA HERRERA, DULCE CORAZÓN DE MARÍA",TF0 - Provincia Santa Cruz de Tenerife
713,"713-GARCÍA MONTERO, JULIO JOSÉ",TF0 - Provincia Santa Cruz de Tenerife
714,"714-RODRÍGUEZ BRAVO, MARCOS FRANCISCO",TF0 - Provincia Santa Cruz de Tenerife
715,"715-GONZÁLEZ GONZÁLEZ, BEGOÑA",TF0 - Provincia Santa Cruz de Tenerife
716,"716-CASTAÑO RAMOS, MARÍA NIEVES",TF0 - Provincia Santa Cruz de Tenerife
717,"717-GARCÍA GIL, ÁNGELA PINO",TF0 - Provincia Santa Cruz de Tenerife
718,"718-MORA DELGADO, VICENTA FÁTIMA",TF0 - Provincia Santa Cruz de Tenerife
719,"719-MARRERO DÍAZ, MARÍA DE LA PAZ",TF0 - Provincia Santa Cruz de Tenerife
720,"720-GONZÁLEZ PULIDO, RAQUEL",TF0 - Provincia Santa Cruz de Tenerife
721,"721-CORDERO LORENZO, FELIPE ALBERTO",TF0 - Provincia Santa Cruz de Tenerife
722,"722-RODRÍGUEZ MALDONADO, JESÚS",TF0 - Provincia Santa Cruz de Tenerife
723,"723-BUSTABAD REYES, ARMANDO",TF0 - Provincia Santa Cruz de Tenerife
724,"724-RODRÍGUEZ RODRÍGUEZ, MARÍA REMEDIOS",TF0 - Provincia Santa Cruz de Tenerife
725,"725-PÉREZ GÓMEZ, DOLORES",TF0 - Provincia Santa Cruz de Tenerife
726,"726-ÁLVAREZ RODRÍGUEZ, RUTH",TF0 - Provincia Santa Cruz de Tenerife
